"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000279457",29.9135794276176,0.179257083672155,0.324821565257057,0.551863246919257,0.581042050756208,0.686554777843741,NA,NA,NA
"ENSG00000187634",183.229649921658,0.42645711840348,0.140265820378439,3.04034951104191,0.00236303749756339,0.00515718149549671,"SAMD11","148398","sterile alpha motif domain containing 11"
"ENSG00000188976",1651.18807619944,-0.692720464846541,0.0548465415886322,-12.6301576139874,1.43989538986676e-36,1.76548903958872e-35,"NOC2L","26155","NOC2 like nucleolar associated transcriptional repressor"
"ENSG00000187961",209.637938486147,0.729755610585167,0.131859899970511,5.53432552844626,3.12428248165661e-08,1.13412993139545e-07,"KLHL17","339451","kelch like family member 17"
"ENSG00000187583",47.2551232589398,0.0405765278762782,0.271892808607621,0.149237223610558,0.881366448669802,0.919030615572063,"PLEKHN1","84069","pleckstrin homology domain containing N1"
"ENSG00000187642",11.9797501642461,0.542810491579129,0.521559849546266,1.04074439788905,0.297994191730638,0.403379309758238,"PERM1","84808","PPARGC1 and ESRR induced regulator, muscle 1"
"ENSG00000188290",108.922127976716,2.05706383456344,0.196905312996422,10.4469696792835,1.51281875623455e-25,1.30538189867592e-24,"HES4","57801","hes family bHLH transcription factor 4"
"ENSG00000187608",350.71686801731,0.257383686481777,0.102726560033584,2.50552229528208,0.0122270689410191,0.0237452288908603,"ISG15","9636","ISG15 ubiquitin like modifier"
"ENSG00000188157",9128.439421961,0.389908792022772,0.0467163395466952,8.34630443665304,7.04321144027529e-17,4.21962805718607e-16,"AGRN","375790","agrin"
"ENSG00000237330",0.158192358990472,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,"RNF223","401934","ring finger protein 223"
"ENSG00000131591",156.479083393338,0.196592348543548,0.145610917131066,1.35012094159528,0.176977192010769,0.261745093412415,"C1orf159","54991","chromosome 1 open reading frame 159"
"ENSG00000186891",0.732334495547826,-0.311843033897266,2.29432959171339,-0.135919021845673,0.89188529776612,0.926394074175564,"TNFRSF18","8784","TNF receptor superfamily member 18"
"ENSG00000186827",0.774563363005392,1.72578824180964,2.02722232992521,0.851306843030539,0.394598924620919,0.508934886764951,"TNFRSF4","7293","TNF receptor superfamily member 4"
"ENSG00000078808",4600.33028600984,0.386628861206338,0.0483324364740614,7.99936625197513,1.25061210894809e-15,7.08904663910649e-15,"SDF4","51150","stromal cell derived factor 4"
"ENSG00000176022",903.070312267806,0.425079342747191,0.0745779843210554,5.69979661715233,1.19950446542438e-08,4.50173078976944e-08,"B3GALT6","126792","beta-1,3-galactosyltransferase 6"
"ENSG00000184163",4.52322235705183,0.328034737203955,0.844006620118733,0.388663701663629,0.697524937142838,0.783293353062416,"C1QTNF12","388581","C1q and TNF related 12"
