target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	550.956	0	0
ENST00000576455	2046	1852.96	3	23.9416
ENST00000510508	915	721.956	0	0
ENST00000474471	1209	1015.96	29	422.105
ENST00000381700	354	167.325	0	0
ENST00000445946	537	344.337	0	0
ENST00000472572	1086	892.956	0	0
ENST00000420022	462	270.085	4	219.007
ENST00000432593	318	135.27	0	0
ENST00000553856	396	206.348	19	1361.6
ENST00000556126	189	44.6001	0	0
ENST00000483851	960	766.956	2	38.5618
ENST00000558098	1707	1513.96	129	1260.01
ENST00000305831	1890	1696.96	34	296.282
ENST00000551068	672	478.956	0	0
ENST00000550981	453	261.191	0	0
ENST00000361390	956	762.956	3450	66867.8
ENST00000361453	1042	848.956	3158	55007.8
ENST00000361624	1542	1348.96	8490	93069.4
ENST00000361739	684	490.956	4074	122709
ENST00000361851	207	54.6363	469.51	127075
ENST00000361899	681	487.956	4022.49	121902
ENST00000362079	784	590.956	3146	78722.9
ENST00000361227	346	159.965	543	50196.5
ENST00000361335	297	117.768	446	56002
ENST00000361381	1378	1184.96	6104	76174.5
ENST00000361567	1812	1618.96	3739	34152.1
ENST00000361681	525	332.473	1272	56575.5
ENST00000361789	1141	947.956	2212	34506
ENST00000321039	1313	1119.96	1	13.2037
ENST00000343280	5419	5225.96	0.00921809	0.0260839
ENST00000427512	5130	4936.96	2000.98	5993.51
ENST00000356584	1799	1605.96	0	0
ENST00000425074	1559	1365.96	0	0
ENST00000415705	563	370.157	0	0
ENST00000450712	587	394.079	1.00626	37.7594
ENST00000319969	996	802.956	0	0
ENST00000291809	1545	1351.96	0	0
ENST00000524372	646	452.956	0	0
ENST00000523882	577	384.157	0.00334419	0.12873
ENST00000520540	568	375.157	0	0
ENST00000519310	567	374.157	0.996656	39.3902
ENST00000442920	1857	1663.96	0	0
ENST00000523312	572	379.157	0	0
ENST00000523439	2403	2209.96	2.03543	13.6198
ENST00000517598	1562	1368.96	0	0
ENST00000347466	2221	2027.96	0	0
ENST00000523138	462	270.085	0	0
ENST00000415379	2186	1992.96	0	0
ENST00000521754	561	368.194	0	0
ENST00000221735	2309	2115.96	0	0
ENST00000518999	746	552.956	0	0
ENST00000521137	690	496.956	0	0
ENST00000522346	5542	5348.96	968.452	2677.36
ENST00000284020	1287	1093.96	0	0
ENST00000424930	2366	2172.96	0	0
ENST00000426954	2327	2133.96	0	0
ENST00000354197	1569	1375.96	0	0
ENST00000427558	714	520.956	0	0
ENST00000332030	494	301.599	2.13027	104.448
ENST00000282292	2185	1991.96	365.31	2711.93
ENST00000240719	3962	3768.96	260.884	1023.58
ENST00000376233	3933	3739.96	1633.12	6457.25
ENST00000344222	3695	3501.96	13.7384	58.0125
ENST00000325134	3599	3405.96	0.00017332	0.000752502
ENST00000506609	1146	952.956	4.26145	66.1275
ENST00000196489	2508	2314.96	8.06605	51.5247
ENST00000359489	1602	1408.96	0	0
ENST00000428052	1647	1453.96	8.0153	81.5203
ENST00000536878	4252	4058.96	180.228	656.606
ENST00000307468	2676	2482.96	0	0
ENST00000356724	1586	1392.96	2.77215	29.4291
ENST00000332854	2964	2770.96	587.991	3137.9
ENST00000418193	1200	1006.96	18	264.338
